Unnamed: 0,name,country,region,grape,color,vintage,alcohol,acidity,residual_sugar,ph,price_eur,rating
1,CHATEAU LUNE,FRANCE,BORDEAUX,MERLOT,RED,2018,13.5,5.8,2.1,3.55,32.0,91
2,RIO VERDE RESERVA,SPAIN,RIOJA,TEMPRANILLO,RED,2016,14.0,5.5,1.9,3.6,24.5,89
3,MOSEL KABINETT,GERMANY,MOSEL,RIESLING,WHITE,2021,8.5,8.9,38.0,3.05,18.0,90
4,COLLINE ROSSO,ITALY,TUSCANY,SANGIOVESE,RED,2019,13.8,6.1,1.5,3.45,27.0,88
5,KIWI COAST,NEW ZEALAND,MARLBOROUGH,SAUVIGNON BLANC,WHITE,2023,12.5,7.4,3.2,3.2,16.5,87
6,BAROSSA SHIRAZ,AUSTRALIA,BAROSSA VALLEY,SHIRAZ,RED,2017,14.8,5.4,2.6,3.7,35.0,92
7,PROVENCE BLUSH,FRANCE,PROVENCE,GRENACHE,ROSE,2023,12.8,6.3,1.8,3.35,19.0,86
8,DOURO TINTO,PORTUGAL,DOURO,TOURIGA NACIONAL,RED,2018,14.2,5.7,2.0,3.62,21.0,90
9,NAPA RESERVE,USA,NAPA VALLEY,CABERNET SAUVIGNON,RED,2016,14.5,5.9,2.4,3.68,85.0,94
10,WACHAU FEDERSPIEL,AUSTRIA,WACHAU,GRUNER VELTLINER,WHITE,2022,12.0,6.8,2.2,3.3,22.0,89
11,ANDES MALBEC,ARGENTINA,MENDOZA,MALBEC,RED,2020,14.1,5.6,2.3,3.65,15.0,88
12,CAVA BRUT,SPAIN,PENEDES,MACABEO,SPARKLING,2021,11.5,7.1,8.0,3.15,13.0,85
13,CHABLIS PREMIER,FRANCE,BURGUNDY,CHARDONNAY,WHITE,2020,12.5,7.0,1.2,3.25,38.0,92
14,SONOMA PINOT,USA,SONOMA,PINOT NOIR,RED,2021,13.9,6.0,1.7,3.52,42.0,91
15,TOKAJI ASZU,HUNGARY,TOKAJ,FURMINT,WHITE,2015,11.0,9.5,180.0,3.4,55.0,95
16,STELLEN CHENIN,SOUTH AFRICA,STELLENBOSCH,CHENIN BLANC,WHITE,2022,13.0,6.9,4.5,3.28,14.0,87
17,CHAMPAGNE BRUT,FRANCE,CHAMPAGNE,CHARDONNAY,SPARKLING,2018,12.0,7.8,9.0,3.05,60.0,93
18,PRIORAT GARNACHA,SPAIN,PRIORAT,GRENACHE,RED,2017,15.0,5.3,2.2,3.58,48.0,93
19,ALSACE GEWURZ,FRANCE,ALSACE,GEWURZTRAMINER,WHITE,2021,13.5,5.2,12.0,3.45,26.0,88
20,CHIANTI CLASSICO,ITALY,TUSCANY,SANGIOVESE,RED,2020,13.5,6.2,1.6,3.48,23.0,89
